timestep,,,,,,,,,,,,,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
27,,,,,,,,,,,,,-0.21801417,-0.17442282,-0.022202153,0.1961791,-0.51780975,-0.33567184,-0.0733153,0.4807344,0.2595242,0.08995485,-0.52144796,0.6590205,0.65700537,0.21744443,-0.08123862,0.34312057,0.73083663,-0.30426753,0.14296132,-0.18254381,-0.0064510577,0.008733508,0.004828334,-0.005045876,-0.13486357,0.63353705,0.6214932,0.10861164,-0.28958854,0.8184866,-0.01734847,0.033542737
28,,,,,,,,,,,,,-0.22048517,-0.1557148,-0.030082162,0.21371078,-0.5202808,-0.31696385,-0.050328817,0.4878088,0.25334597,0.07292909,-0.49846146,0.6660949,0.6491374,0.24790516,-0.090514064,0.33611915,0.72296864,-0.27380678,0.14239179,-0.18167394,-0.0062667024,0.010131105,0.0042587966,-0.0041760057,-0.13430543,0.6657642,0.587028,0.054629575,-0.2958511,0.78778684,-0.014284101,0.035809744
29,,,,,,,,,,,,,-0.22337593,-0.13565166,-0.033138335,0.22753032,-0.52317154,-0.2969007,-0.027835384,0.4935259,0.24821758,0.058820624,-0.475968,0.67181194,0.64062566,0.27779624,-0.096604966,0.33012524,0.7144569,-0.2439157,0.14185692,-0.18070678,-0.005780999,0.011053721,0.0037239343,-0.0032088459,-0.10576719,0.6724722,0.5820811,0.04123804,-0.28719404,0.78035843,-0.010809731,0.03455391
30,,,,,,,,,,,,,-0.22621629,-0.114592515,-0.030770164,0.23722062,-0.5260119,-0.27584156,-0.0056466227,0.49829978,0.2457039,0.050154444,-0.45377925,0.67658585,0.63178897,0.30728757,-0.098975666,0.32645848,0.7056202,-0.21442437,0.14136694,-0.17970471,-0.005275664,0.0111744385,0.0032339543,-0.0022067726,-0.059164166,0.6657286,0.59540737,0.060389683,-0.26521933,0.7886454,-0.009399152,0.028841456
31,,,,,,,,,,,,,-0.22853996,-0.09282882,-0.023342807,0.24411796,-0.5283356,-0.25407785,0.016467674,0.50270236,0.24571966,0.048299033,-0.43166497,0.68098843,0.6229687,0.336594,-0.09751653,0.32521105,0.69679993,-0.18511796,0.14090933,-0.17874405,-0.004989159,0.010423978,0.0027763397,-0.0012461096,-0.0026518118,0.662025,0.61441755,0.10683194,-0.23284794,0.8036713,-0.010324096,0.02043148
32,,,,,,,,,,,,,-0.2299683,-0.07047229,-0.012134198,0.25054982,-0.5297639,-0.23172134,0.03864466,0.50732654,0.2467566,0.052921344,-0.40948796,0.6856126,0.61449784,0.36590284,-0.09242244,0.3258754,0.6883291,-0.1558091,0.1404702,-0.17789257,-0.0048239427,0.008979245,0.0023372173,-0.00039462745,0.05372908,0.6746135,0.62466836,0.16697066,-0.19285059,0.81967056,-0.010820727,0.011612604
33,,,,,,,,,,,,,-0.23020479,-0.047503427,0.00212537,0.25753954,-0.5300004,-0.20875247,0.0608771,0.5126651,0.24716237,0.06251508,-0.38725555,0.69095117,0.6066985,0.39532846,-0.08377707,0.32748887,0.6805298,-0.12638348,0.14003314,-0.17718147,-0.004872404,0.0073618726,0.0019001514,0.00031647086,0.11226019,0.6962713,0.62094915,0.2282408,-0.14460221,0.83082306,-0.012544465,0.006274394
34,,,,,,,,,,,,,-0.22899969,-0.023892011,0.019022299,0.26475385,-0.5287953,-0.18514106,0.08308552,0.51903427,0.24655923,0.07489484,-0.3650471,0.69732034,0.59988123,0.42485973,-0.07173297,0.3284434,0.6737125,-0.09685221,0.13956778,-0.17660885,-0.005320055,0.005862895,0.0014347881,0.0008890927,0.17428271,0.7159916,0.6118748,0.28008533,-0.08900161,0.82826835,-0.016657526,0.003414897
35,,,,,,,,,,,,,-0.22612989,0.00034086406,0.038318712,0.27150434,-0.5259255,-0.16090818,0.10518583,0.52650124,0.24505879,0.087000765,-0.3429468,0.7047873,0.5943394,0.45428583,-0.056498233,0.32621336,0.66817063,-0.067426115,0.13905372,-0.17617099,-0.005907655,0.004366314,0.00092072785,0.0013269484,0.24051991,0.7293894,0.6013938,0.30829632,-0.026984993,0.79880786,-0.019176144,-0.0003085807
36,,,,,,,,,,,,,-0.2213908,0.025094956,0.059825316,0.27681604,-0.5211864,-0.13615409,0.12707691,0.5347645,0.24232206,0.09422048,-0.3210557,0.7130506,0.59031916,0.48324773,-0.03875435,0.3195911,0.6641504,-0.03846422,0.13853146,-0.17586735,-0.005750505,0.0028775707,0.00039847195,0.0016305894,0.3108629,0.7318779,0.58527946,0.2896992,0.03619329,0.7493109,-0.013197624,-0.003971645
37,,,,,,,,,,,,,-0.21462019,0.05024997,0.08293083,0.28084219,-0.5144158,-0.11099907,0.14859927,0.5430178,0.23754497,0.09044404,-0.29953337,0.7213039,0.58798206,0.5115345,-0.019573351,0.31165075,0.6618133,-0.0101774335,0.13804315,-0.17568079,-0.0052631604,0.0016704502,-0.0000898391,0.0018171519,0.3806185,0.73230183,0.55803406,0.19778673,0.09492416,0.7195742,-0.009502825,-0.0048772753
38,,,,,,,,,,,,,-0.20571719,0.075718775,0.10691771,0.2840589,-0.5055128,-0.085530266,0.16952902,0.54982466,0.23005672,0.06822512,-0.2786036,0.72811073,0.58727986,0.5392442,-0.0019175024,0.30600166,0.6611111,0.01753223,0.1376002,-0.17558463,-0.0047509247,0.0007673078,-0.000532791,0.0019133091,0.44719595,0.7342726,0.51897967,0.0039207027,0.12762512,0.72263575,-0.008035546,-0.0048553003
39,,,,,,,,,,,,,-0.19465047,0.10141513,0.13098623,0.2862431,-0.49444607,-0.059833914,0.18968986,0.5531755,0.22098584,0.021735623,-0.25844276,0.7314616,0.5877451,0.5666775,0.008711991,0.30422118,0.66157633,0.044965565,0.13720305,-0.1755562,-0.004243566,0.00009029437,-0.00092993677,0.0019417405,0.5079795,0.73198915,0.4844331,-0.29433218,0.10150118,0.74719906,-0.0068037207,-0.0048518656
40,,,,,,,,,,,,,-0.1814505,0.1270976,0.15450652,0.28491986,-0.4812461,-0.034151435,0.20915827,0.5510951,0.2139807,-0.045540687,-0.23897436,0.7293812,0.5882535,0.5942046,0.00411974,0.30667427,0.66208476,0.07249266,0.13687426,-0.17557067,-0.0033576458,-0.00028654127,-0.0012587309,0.0019272715,0.5626684,0.70237505,0.48241338,-0.61842406,-0.024142543,0.78508365,-0.0017497075,-0.0035426207
41,,,,,,,,,,,,,-0.16624637,0.15228945,0.17614876,0.27740428,-0.46604198,-0.008959591,0.228467,0.5429608,0.2148218,-0.11280176,-0.21966563,0.7212469,0.58701026,0.62213635,-0.02278009,0.31219184,0.6608415,0.10042441,0.13663928,-0.17559995,-0.0022373998,-0.00034471252,-0.0014937073,0.0018979907,0.60268855,0.6371435,0.5433624,-0.78646266,-0.25869894,0.8218609,0.00280834,-0.0012980655
42,,,,,,,,,,,,,-0.14919385,0.17642517,0.19613403,0.26356024,-0.44898945,0.015176132,0.24854907,0.52950436,0.22729024,-0.16787276,-0.19958356,0.70779043,0.5827062,0.6504906,-0.06034358,0.31647488,0.6565375,0.12877864,0.1364678,-0.17562155,-0.0017392505,-0.00018742456,-0.0016651899,0.001876384,0.6402245,0.5550704,0.6617391,-0.83271444,-0.4325851,0.8233102,-0.00061200553,0.0007110982
43,,,,,,,,,,,,,-0.13041878,0.19930854,0.21485081,0.24960952,-0.43021438,0.038059503,0.2701541,0.5117416,0.24643826,-0.21211046,-0.17797855,0.69002765,0.57499576,0.6790173,-0.09833677,0.31720805,0.648827,0.15730536,0.1362642,-0.17561464,-0.0025238139,0.00020891565,-0.0018687844,0.0018832982,0.6775027,0.5193936,0.75970566,-0.8620591,-0.5307908,0.7985195,-0.012193761,0.0034948408
44,,,,,,,,,,,,,-0.11000446,0.22105083,0.23281322,0.23756665,-0.40980005,0.059801787,0.29355174,0.49064422,0.26674083,-0.24556814,-0.15458089,0.6689303,0.563861,0.70741576,-0.13641107,0.3147029,0.6376923,0.18570381,0.13595754,-0.17555977,-0.0038488708,0.00080977083,-0.0021754503,0.0019381642,0.71675116,0.5035955,0.81912136,-0.86485285,-0.626585,0.7679689,-0.019560106,0.0065308404
45,,,,,,,,,,,,,-0.08804121,0.24160706,0.24964762,0.22382045,-0.3878368,0.08035801,0.31845093,0.46710798,0.2816158,-0.269486,-0.1296817,0.6453941,0.54943234,0.73533785,-0.17227274,0.30801573,0.6232636,0.21362591,0.13567589,-0.17549351,-0.0027697312,0.0006993367,-0.0024570972,0.0020044297,0.75037706,0.45645484,0.81560165,-0.8530992,-0.6996443,0.7198856,0.001169219,0.00092008687
46,,,,,,,,,,,,,-0.06468918,0.2602378,0.26437664,0.19860218,-0.3644848,0.09898877,0.34427553,0.44183406,0.2896022,-0.286489,-0.1038571,0.62012017,0.53201944,0.76208574,-0.20407812,0.29179052,0.6058507,0.24037379,0.13570733,-0.1755049,0.0019085959,-0.0005390757,-0.0024256557,0.0019930452,0.7714095,0.3073688,0.7839033,-0.84374475,-0.74873537,0.60778725,0.039858945,-0.010635783
47,,,,,,,,,,,,,-0.040176455,0.27566585,0.2763571,0.15783228,-0.33997205,0.11441681,0.37053686,0.41526163,0.2928879,-0.29962963,-0.07759577,0.5935477,0.5120197,0.78647685,-0.23128842,0.26062316,0.58585095,0.2647649,0.13617702,-0.17563128,0.0068737706,-0.001837058,-0.0019559711,0.0018666536,0.7807462,0.08880659,0.7568623,-0.84762853,-0.7822983,0.41780272,0.054423243,-0.01432751
48,,,,,,,,,,,,,-0.014730543,0.28714034,0.28591993,0.112324975,-0.31452614,0.1258913,0.3969456,0.38764367,0.2937016,-0.3104844,-0.05118704,0.5659298,0.48979086,0.80730104,-0.25483686,0.21675852,0.5636221,0.2855891,0.13694036,-0.17583722,0.009285431,-0.002514161,-0.0011926293,0.0016607195,0.7865212,-0.06049243,0.74035656,-0.8576222,-0.8137054,0.21291178,0.04130105,-0.011363677
49,,,,,,,,,,,,,0.011467809,0.2946652,0.29367924,0.069251485,-0.28832778,0.13341615,0.42331827,0.35914153,0.29269361,-0.31979355,-0.024814367,0.5374276,0.4656386,0.82378083,-0.2751183,0.16628428,0.5394699,0.3020689,0.13778979,-0.17609106,0.009514362,-0.0029733705,-0.00034320354,0.0014068782,0.7923925,-0.14992237,0.7241744,-0.8693024,-0.8399065,0.03715387,0.025502888,-0.010877504
50,,,,,,,,,,,,,0.03830765,0.298579,0.300491,0.03060438,-0.26148796,0.13732997,0.44941422,0.32985657,0.28858683,-0.3281867,0.0012815893,0.50814265,0.43984348,0.8354869,-0.2923598,0.111957446,0.51367474,0.31377494,0.13860478,-0.17640357,0.0088259345,-0.0037218507,0.00047178566,0.0010943711,0.802316,-0.21334243,0.69066644,-0.8834157,-0.8602106,-0.12755768,0.016901627,-0.0149182305
51,,,,,,,,,,,,,0.06574905,0.29926148,0.30711126,-0.003927786,-0.23404655,0.13801244,0.47485006,0.29985464,0.27963725,-0.33593917,0.026717424,0.4781407,0.41267315,0.8422116,-0.30665863,0.056100346,0.48650444,0.32049966,0.13932072,-0.17678389,0.0075193993,-0.004477872,0.0011877269,0.00071404874,0.8174303,-0.26881072,0.63197124,-0.89799106,-0.873888,-0.2786774,0.008999477,-0.016864842
52,,,,,,,,,,,,,0.09379806,0.29695863,0.31392792,-0.03641691,-0.20599753,0.13570958,0.49916628,0.26918736,0.2654518,-0.34315202,0.051033646,0.44747344,0.38436237,0.8438415,-0.31851715,-0.0008852165,0.45819366,0.32212955,0.13984697,-0.1771743,0.005011109,-0.004267764,0.0017139763,0.00032363832,0.835945,-0.33471072,0.55723846,-0.91197586,-0.8852319,-0.42960483,-0.0062844073,-0.009093597
53,,,,,,,,,,,,,0.12245437,0.29161543,0.3206411,-0.07084493,-0.17734122,0.13036638,0.5219337,0.23790061,0.24673046,-0.34986982,0.07380104,0.4161867,0.355075,0.8403999,-0.32886404,-0.056915976,0.42890626,0.31868798,0.14009818,-0.17749259,0.0016815512,-0.0031708484,0.001965195,0.000005349517,0.8519513,-0.43532246,0.47641596,-0.9250587,-0.8997618,-0.5625206,-0.020767802,0.00029974058
54,,,,,,,,,,,,,0.1516855,0.28291208,0.32686496,-0.10963347,-0.14811009,0.121663034,0.5424578,0.2060529,0.2187039,-0.35586035,0.094325185,0.38433897,0.32490268,0.832032,-0.33843902,-0.11100784,0.39873397,0.31032008,0.14006147,-0.17772463,-0.001452591,-0.0022819575,0.0019284785,-0.00022669137,0.86384135,-0.5649978,0.33656025,-0.9345793,-0.9179099,-0.68320847,-0.027137544,0.000961784
55,,,,,,,,,,,,,0.1813748,0.2703829,0.3313892,-0.15400273,-0.118420795,0.10913387,0.55910784,0.17373487,0.16814885,-0.36070344,0.110975206,0.35202095,0.29391974,0.81896895,-0.34716344,-0.162214,0.367751,0.297257,0.13986544,-0.1779778,-0.002540871,-0.0030785834,0.0017324537,-0.0004798621,0.8624054,-0.7177765,0.041208833,-0.93808234,-0.93334115,-0.7895811,-0.014514277,-0.013671153
56,,,,,,,,,,,,,0.2112973,0.25388882,0.33301374,-0.19790055,-0.088498294,0.092639774,0.57034874,0.14102954,0.10327362,-0.36473718,0.122216105,0.3193156,0.26223367,0.801634,-0.3545196,-0.20780858,0.33606493,0.27992207,0.13966969,-0.17838967,-0.0019920815,-0.005325297,0.0015366971,-0.0008917302,0.8447186,-0.8239849,-0.2283801,-0.9420962,-0.94147015,-0.8614808,-0.000864282,-0.030163594
57,,,,,,,,,,,,,0.24089688,0.23391269,0.32681957,-0.23398528,-0.058898717,0.07266365,0.5759325,0.10797725,0.04142602,-0.36850294,0.12779987,0.28626332,0.2299821,0.7806356,-0.36026636,-0.24606739,0.30381337,0.25892365,0.13952178,-0.17895718,-0.0014689318,-0.0067954445,0.0013887882,-0.0014592409,0.77059287,-0.8555989,-0.36029196,-0.94950026,-0.9437661,-0.9021096,0.00025129318,-0.028014716
58,,,,,,,,,,,,,0.26739445,0.21204884,0.27821627,-0.24740493,-0.032401145,0.050799802,0.57643014,0.07459143,-0.012419879,-0.37217885,0.12829751,0.2528775,0.19730726,0.7566325,-0.36444768,-0.27701733,0.27113855,0.23492056,0.1393269,-0.17949036,-0.0025133754,-0.005488631,0.0011939108,-0.0019924194,0.3310161,-0.7191596,-0.43489397,-0.95801675,-0.94247866,-0.92466813,-0.014116765,-0.0039204718
59,,,,,,,,,,,,,0.28632027,0.1924098,0.17632185,-0.20361495,-0.013475329,0.031160757,0.57240826,0.04089072,-0.06082176,-0.37558907,0.124275625,0.2191768,0.16433448,0.7302376,-0.3673226,-0.3014068,0.23816575,0.20852566,0.13893567,-0.17975365,-0.005263717,-0.0016439073,0.00080268085,-0.002255708,-0.32340357,-0.18061244,-0.51506853,-0.9645485,-0.93986857,-0.9364378,-0.03378686,0.02472566
60,,,,,,,,,,,,,0.2971336,0.17849165,0.09206137,-0.13016196,-0.002662003,0.01724261,0.5641518,0.006918761,-0.10719634,-0.3784048,0.11601919,0.18520483,0.13117146,0.70197725,-0.3690556,-0.3203024,0.20500274,0.1802653,0.13840117,-0.17975827,-0.0062764785,0.00074528356,0.0002681762,-0.0022603273,-0.4018003,0.22549234,-0.61580026,-0.96713006,-0.9356366,-0.9424725,-0.023286914,0.01978214
