timestep,edge_mask_0,edge_mask_1,edge_mask_2,edge_mask_3,edge_mask_4,edge_mask_5,edge_mask_6,edge_mask_7,edge_mask_8,edge_mask_9,edge_mask_10,edge_mask_11,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
10,0.13930291,0.908358,0.14784323,0.035930928,0.04641014,0.52804095,0.92255235,0.2518109,0.32411584,0.041516658,0.6088862,0.045231856,0.20377792,-0.22796184,0.2867543,0.28921884,0.004327059,-0.3552906,-0.122991435,0.7081558,0.32923266,0.086146526,-0.54910004,0.22382924,0.083753526,0.0027158405,0.3199108,-0.31247035,-0.35283136,0.3269131,-0.472483,0.28451696,0.08503511,0.026611874,-0.9615562,0.13036239,0.8593192,0.79833925,0.8926284,-0.068094954,0.722334,-0.9407506,0.3469296,0.075092666
11,0.16491248,0.92134666,0.15736748,0.04647526,0.03925666,0.54650086,0.9088424,0.23231392,0.2961316,0.04468233,0.6027736,0.039396692,0.2304344,-0.2009099,0.30089748,0.3062564,0.030983537,-0.32823867,-0.09288223,0.7136451,0.33720377,0.04841356,-0.5189909,0.22931853,0.111726545,-0.02649086,0.30626175,-0.3305432,-0.32485834,0.2977064,-0.46383628,0.28696945,0.10159503,0.02756852,-0.95290947,0.13281488,0.8583173,0.89342284,0.9027934,-0.16196342,0.6632869,-0.96190375,0.37818703,0.07609617
12,0.20011999,0.92484003,0.16572402,0.06450479,0.03709149,0.5659611,0.88523096,0.21598597,0.26831487,0.0502642,0.5838941,0.038068462,0.2649847,-0.18152206,0.5200033,0.063780986,0.06553383,-0.30885082,-0.06211836,0.71579295,0.34412938,0.01159095,-0.48822698,0.23146638,0.13108586,-0.047817834,0.07491074,-0.083956465,-0.30549902,0.27637944,-0.453772,0.28947458,0.11694014,0.027968245,-0.94284517,0.13532001,0.7112864,0.9419501,0.9122661,-0.24719223,0.6841607,-0.96155393,0.40743873,0.07291854
13,0.12888467,0.7978883,0.09534892,0.07028749,0.10574711,0.52962804,0.88180953,0.34407914,0.37502307,0.047903024,0.5270362,0.09636458,0.31592304,-0.18105838,0.5292412,0.03488105,0.11647217,-0.30838713,-0.030778369,0.7145847,0.35026848,-0.02593269,-0.456887,0.23025814,0.12769441,-0.04983097,-0.034249365,-0.050617762,-0.30889046,0.2743663,-0.4427014,0.29233798,0.12604028,0.033739477,-0.93177456,0.13818341,0.3630265,0.88033843,0.921714,-0.34625903,0.12503713,-0.88638943,0.3833519,0.12763296
14,0.12181874,0.6790174,0.074646875,0.10324251,0.17323008,0.501611,0.83714676,0.40182748,0.42374215,0.059610777,0.4763537,0.1477525,0.35519424,-0.173433,0.38989934,0.1096489,0.15574338,-0.30076176,0.0010860404,0.7100173,0.35593927,-0.063156486,-0.4250226,0.22569075,0.12672919,-0.058912657,0.0010382002,-0.12605259,-0.3098557,0.2652846,-0.43117106,0.296102,0.12915187,0.045863703,-0.9202442,0.14194742,-0.070315495,0.8348811,0.9323797,-0.43706974,0.26725227,-0.8808928,0.34621665,0.20559096
15,0.17130862,0.7213974,0.08936718,0.11401355,0.15099911,0.52204865,0.8306086,0.36754984,0.3885842,0.05537781,0.46114147,0.12760353,0.3838799,-0.16001229,0.28314495,0.16885407,0.18442903,-0.28734106,0.03341499,0.7022027,0.36084622,-0.09866636,-0.39269364,0.2178761,0.12969795,-0.073767714,0.048960343,-0.18455796,-0.30688694,0.25042954,-0.41934073,0.30117434,0.13259661,0.061607186,-0.9084139,0.14701977,-0.09279616,0.86617386,0.9389175,-0.5129899,0.4818169,-0.9001852,0.35732707,0.272094
16,0.23712742,0.7567353,0.10712856,0.13424526,0.13388179,0.5482766,0.811195,0.32847226,0.34459484,0.05455977,0.43440032,0.10938289,0.40478522,-0.14204775,0.20684946,0.21498187,0.20533435,-0.26937652,0.06615668,0.6912687,0.36527178,-0.13290055,-0.35995194,0.20694211,0.13722132,-0.09302099,0.10090948,-0.22860894,-0.29936355,0.23117627,-0.40711585,0.30773294,0.13744959,0.07850602,-0.896189,0.15357837,-0.05509263,0.88341284,0.94637126,-0.58900785,0.64189225,-0.90190506,0.3800214,0.32300633
17,0.31795102,0.7847841,0.12905358,0.17266478,0.12183139,0.5758467,0.77012223,0.28858867,0.29509985,0.05721293,0.39346036,0.09338453,0.42027128,-0.12058881,0.1546765,0.2501579,0.22082041,-0.24791756,0.09927719,0.6773274,0.36937267,-0.16590469,-0.32683143,0.19300082,0.14940713,-0.115584634,0.15264213,-0.26175624,-0.28717774,0.20861262,-0.39436403,0.31578967,0.14380491,0.09502616,-0.88343716,0.1616351,-0.0046056034,0.88921475,0.9541883,-0.66229284,0.76960015,-0.9029955,0.40717706,0.3614666
18,0.40697986,0.79244447,0.15567164,0.23444875,0.12216393,0.5952894,0.70285845,0.24601196,0.24903886,0.06269284,0.34700814,0.08539163,0.43202284,-0.096481934,0.11852064,0.27670234,0.23257197,-0.22381069,0.132751,0.6605484,0.37321055,-0.19669817,-0.2933576,0.17622182,0.1659961,-0.14062361,0.20016178,-0.2864384,-0.2705888,0.18357365,-0.38097718,0.32528007,0.15121143,0.1106605,-0.8700503,0.1711255,0.025132712,0.89083916,0.9618108,-0.72269636,0.8568019,-0.90121233,0.43357727,0.39390883
19,0.49971977,0.7962791,0.18389247,0.31007212,0.12654348,0.61064106,0.62254983,0.20377699,0.20546651,0.06737804,0.29650325,0.07717748,0.4412414,-0.07037321,0.0943823,0.2967942,0.24179055,-0.19770196,0.16655153,0.6411949,0.37673685,-0.22420925,-0.2595571,0.15686831,0.18638892,-0.1674513,0.2397995,-0.30390885,-0.25019598,0.15674596,-0.36688054,0.33608264,0.15933834,0.12471208,-0.8559537,0.18192807,0.05491813,0.89267427,0.9682901,-0.7668559,0.8967818,-0.89080095,0.45929763,0.41716716
20,0.59185654,0.78347373,0.21042304,0.39704025,0.14398679,0.6202749,0.53357315,0.16371523,0.16930209,0.069386564,0.24442825,0.07253944,0.44886866,-0.042759456,0.079929486,0.31183213,0.2494178,-0.1700882,0.20064637,0.61961025,0.37987897,-0.2476407,-0.22546226,0.13528368,0.2098882,-0.19544686,0.27175507,-0.31463775,-0.22669668,0.1287504,-0.35201737,0.3480373,0.1680501,0.13688847,-0.84109056,0.19388273,0.09142761,0.8923644,0.9732634,-0.79483783,0.9190545,-0.8670609,0.48546344,0.43354425
21,0.6746746,0.7696982,0.23673674,0.496187,0.16503797,0.62332135,0.43391293,0.12889004,0.13994192,0.069900006,0.19643547,0.06526376,0.45506412,-0.014291695,0.063293256,0.31854665,0.25561327,-0.14162044,0.23500018,0.5961953,0.38262358,-0.26642993,-0.19110845,0.11186871,0.23588857,-0.22396272,0.29746205,-0.31794557,-0.20069632,0.10023454,-0.33632332,0.36095035,0.17754254,0.14677292,-0.8253965,0.20679578,0.03346144,0.84672576,0.9771438,-0.8069941,0.93645793,-0.8196732,0.5150499,0.44106573
22,0.7494238,0.7485954,0.2699595,0.60104555,0.19142327,0.612989,0.3299459,0.09942313,0.11705149,0.06900853,0.15115304,0.059981372,0.45843506,0.013902836,0.024536684,0.31063554,0.2589842,-0.11342592,0.26957464,0.5714496,0.38492927,-0.27921322,-0.15653399,0.08712301,0.26389316,-0.25208995,0.31801203,-0.30981383,-0.17269173,0.072107315,-0.31970215,0.3745739,0.18824857,0.153672,-0.8087753,0.22041932,-0.22933266,0.7172553,0.9796159,-0.7939075,0.94915503,-0.7135459,0.5509166,0.43592325
23,0.8077231,0.70780843,0.31543213,0.6891907,0.23369479,0.5863548,0.24368292,0.07759147,0.098213084,0.067126386,0.11468545,0.058496755,0.4565909,0.04065979,-0.04300473,0.29063144,0.25714004,-0.08666897,0.3043212,0.54622024,0.3866445,-0.28088233,-0.12178743,0.06189367,0.29347897,-0.27811745,0.3340909,-0.27888477,-0.14310592,0.046079814,-0.30205178,0.38856116,0.20004833,0.15628433,-0.79112494,0.23440659,-0.61407244,0.57654774,0.97947514,-0.7147244,0.955819,-0.465244,0.5886187,0.41030326
